,country,date,new,total,lockdown_status
0,Sri Lanka,2020-01-22,0,0,Before
1,Sri Lanka,2020-01-23,0,0,Before
2,Sri Lanka,2020-01-24,0,0,Before
3,Sri Lanka,2020-01-25,0,0,Before
4,Sri Lanka,2020-01-26,0,0,Before
5,Sri Lanka,2020-01-27,1,1,Before
6,Sri Lanka,2020-01-28,0,1,Before
7,Sri Lanka,2020-01-29,0,1,Before
8,Sri Lanka,2020-01-30,0,1,Before
9,Sri Lanka,2020-01-31,0,1,Before
10,Sri Lanka,2020-02-01,0,1,Before
11,Sri Lanka,2020-02-02,0,1,Before
12,Sri Lanka,2020-02-03,0,1,Before
13,Sri Lanka,2020-02-04,0,1,Before
14,Sri Lanka,2020-02-05,0,1,Before
15,Sri Lanka,2020-02-06,0,1,Before
16,Sri Lanka,2020-02-07,0,1,Before
17,Sri Lanka,2020-02-08,0,1,Before
18,Sri Lanka,2020-02-09,0,1,Before
19,Sri Lanka,2020-02-10,0,1,Before
20,Sri Lanka,2020-02-11,0,1,Before
21,Sri Lanka,2020-02-12,0,1,Before
22,Sri Lanka,2020-02-13,0,1,Before
23,Sri Lanka,2020-02-14,0,1,Before
24,Sri Lanka,2020-02-15,0,1,Before
25,Sri Lanka,2020-02-16,0,1,Before
26,Sri Lanka,2020-02-17,0,1,Before
27,Sri Lanka,2020-02-18,0,1,Before
28,Sri Lanka,2020-02-19,0,1,Before
29,Sri Lanka,2020-02-20,0,1,Before
30,Sri Lanka,2020-02-21,0,1,Before
31,Sri Lanka,2020-02-22,0,1,Before
32,Sri Lanka,2020-02-23,0,1,Before
33,Sri Lanka,2020-02-24,0,1,Before
34,Sri Lanka,2020-02-25,0,1,Before
35,Sri Lanka,2020-02-26,0,1,Before
36,Sri Lanka,2020-02-27,0,1,Before
37,Sri Lanka,2020-02-28,0,1,Before
38,Sri Lanka,2020-02-29,0,1,Before
39,Sri Lanka,2020-03-01,0,1,Before
40,Sri Lanka,2020-03-02,0,1,Before
41,Sri Lanka,2020-03-03,0,1,Before
42,Sri Lanka,2020-03-04,0,1,Before
43,Sri Lanka,2020-03-05,0,1,Before
44,Sri Lanka,2020-03-06,0,1,Before
45,Sri Lanka,2020-03-07,0,1,Before
46,Sri Lanka,2020-03-08,0,1,Before
47,Sri Lanka,2020-03-09,0,1,Before
48,Sri Lanka,2020-03-10,0,1,Before
49,Sri Lanka,2020-03-11,1,2,Before
50,Sri Lanka,2020-03-12,0,2,Before
51,Sri Lanka,2020-03-13,4,6,Before
52,Sri Lanka,2020-03-14,4,10,Before
53,Sri Lanka,2020-03-15,8,18,Before
54,Sri Lanka,2020-03-16,10,28,Before
55,Sri Lanka,2020-03-17,16,44,Before
56,Sri Lanka,2020-03-18,7,51,Lockdown
57,Sri Lanka,2020-03-19,9,60,Lockdown
58,Sri Lanka,2020-03-20,13,73,Lockdown
59,Sri Lanka,2020-03-21,4,77,Lockdown
60,Sri Lanka,2020-03-22,5,82,Lockdown
61,Sri Lanka,2020-03-23,15,97,Lockdown
62,Sri Lanka,2020-03-24,5,102,Lockdown
63,Sri Lanka,2020-03-25,0,102,Lockdown
64,Sri Lanka,2020-03-26,4,106,Lockdown
65,Sri Lanka,2020-03-27,0,106,Lockdown
66,Sri Lanka,2020-03-28,7,113,Lockdown
67,Sri Lanka,2020-03-29,4,117,Lockdown
68,Sri Lanka,2020-03-30,5,122,Lockdown
69,Sri Lanka,2020-03-31,21,143,Lockdown
70,Sri Lanka,2020-04-01,3,146,Lockdown
71,Sri Lanka,2020-04-02,5,151,Lockdown
72,Sri Lanka,2020-04-03,8,159,Lockdown
73,Sri Lanka,2020-04-04,7,166,Lockdown
74,Sri Lanka,2020-04-05,10,176,Lockdown
75,Sri Lanka,2020-04-06,2,178,Lockdown
76,Sri Lanka,2020-04-07,7,185,Lockdown
77,Sri Lanka,2020-04-08,4,189,Lockdown
78,Sri Lanka,2020-04-09,1,190,Lockdown
79,Sri Lanka,2020-04-10,0,190,Lockdown
80,Sri Lanka,2020-04-11,8,198,Lockdown
81,Sri Lanka,2020-04-12,12,210,Lockdown
82,Sri Lanka,2020-04-13,7,217,Lockdown
83,Sri Lanka,2020-04-14,16,233,Lockdown
84,Sri Lanka,2020-04-15,5,238,Lockdown
85,Sri Lanka,2020-04-16,0,238,Lockdown
86,Sri Lanka,2020-04-17,6,244,Lockdown
87,Sri Lanka,2020-04-18,10,254,Lockdown
88,Sri Lanka,2020-04-19,17,271,Lockdown
89,Sri Lanka,2020-04-20,33,304,Lockdown
90,Sri Lanka,2020-04-21,6,310,Lockdown
91,Sri Lanka,2020-04-22,20,330,Lockdown
